iter	RMSE
0	1.000401819
1	0.6667111841
2	0.5383208628
3	0.4976051478
4	0.4745420559
5	0.4573133715
6	0.4300033979
7	0.4162743727
8	0.3979796343
9	0.3939018444
10	0.3805824567
11	0.3743225308
12	0.3624665547
13	0.3556563213
14	0.3435441448
15	0.3383380762
16	0.3301312587
17	0.321602856
18	0.3182161237
19	0.3133100327
20	0.3054351878
21	0.2990043289
22	0.2919979918
23	0.2879859427
24	0.2857519907
25	0.2832217001
26	0.2800077804
27	0.2733211806
28	0.2686949209
29	0.2645536782
30	0.2611897876
31	0.2588717594
32	0.2572942279
33	0.2549779992
34	0.2524171981
35	0.2495975225
36	0.2466823816
37	0.2444797998
38	0.2417046763
39	0.2391065308
40	0.2373570236
41	0.235915366
42	0.234745298
43	0.2328830235
44	0.2315167047
45	0.2295428307
46	0.2282370073
47	0.2267855384
48	0.2252336724
49	0.2233160111
50	0.222407398
51	0.2213207037
52	0.2198568768
53	0.2181167476
54	0.2167455846
55	0.2157628882
56	0.2134429926
57	0.2121534681
58	0.210407175
59	0.2096976252
60	0.208657157
61	0.2074429801
62	0.2061940725
63	0.2050286181
64	0.2043353771
65	0.2036254925
66	0.2028602038
67	0.2018289335
68	0.2010630565
69	0.199378371
70	0.1981727308
71	0.1971006451
72	0.1964060947
73	0.1952971683
74	0.1945576924
75	0.1936699769
76	0.1924694336
77	0.1914909622
78	0.1907620412
79	0.1901783138
80	0.1888899688
81	0.1879720097
82	0.1876701601
83	0.1861490505
84	0.1851452011
85	0.1844418118
86	0.1836116638
87	0.1826197838
88	0.1818593888
89	0.1811371417
90	0.1791538383
91	0.1781816922
92	0.1775933202
93	0.1764829915
94	0.176098368
95	0.1742649725
96	0.1735952552
97	0.1726736512
98	0.1716790791
99	0.1712154741
100	0.1707655077
101	0.1700426023
102	0.1691600766
103	0.1684597184
104	0.1675222487
105	0.1665681081
106	0.1658104997
107	0.1652813877
108	0.1647692359
109	0.1638584771
110	0.1637779691
111	0.1631357192
112	0.1621681148
113	0.1612139995
114	0.1604110423
115	0.1599543893
116	0.1592798901
117	0.1586614644
118	0.1581837872
119	0.1576139416
120	0.1572524429
121	0.156963653
122	0.1564093705
123	0.155463459
124	0.1548684546
125	0.1543852292
126	0.1538406547
127	0.1534078158
128	0.1529801821
129	0.1524146494
130	0.1519287955
131	0.1512277086
132	0.1505580407
133	0.1501814374
134	0.1497438354
135	0.1494550668
136	0.149152884
137	0.1484994315
138	0.1479376506
139	0.1476452473
140	0.1472399685
141	0.1465206232
142	0.1462323766
143	0.1460108777
144	0.145706756
145	0.1450666745
146	0.1444500121
147	0.1439152542
148	0.143556183
149	0.1429633093
150	0.1423124738
151	0.1419457931
152	0.1414923611
153	0.1405230565
154	0.1392764791
155	0.1387847608
156	0.1382799781
157	0.1377729405
158	0.1372694299
159	0.1368157123
160	0.1362879689
161	0.1359344309
162	0.1357137335
163	0.1352521828
164	0.1347354611
165	0.1342884751
166	0.1338046456
167	0.1334980532
168	0.1328540158
169	0.1324148196
170	0.1318490151
171	0.1314117045
172	0.1304503648
173	0.1302044491
174	0.129854165
175	0.1295182227
176	0.1292023403
177	0.1286090735
178	0.1282149365
179	0.127983512
180	0.1274782398
181	0.1268579182
182	0.1262852945
183	0.1256082425
184	0.1252939609
185	0.1248893653
186	0.1246001327
187	0.1239833791
188	0.1235959522
189	0.1230499796
190	0.1227167919
191	0.1222148431
192	0.1213663981
193	0.1210736786
194	0.1207335946
195	0.1200304081
196	0.1195285073
197	0.1188165907
198	0.1180756815
199	0.1174218953
200	0.1170315677
201	0.1166611064
202	0.116153168
203	0.1157601003
204	0.1153154948
205	0.1146684369
206	0.1143614853
207	0.1140259508
208	0.1136302944
209	0.1134709051
210	0.1129173042
211	0.11259821
212	0.1122421548
213	0.1117452906
214	0.111392543
215	0.1112670692
216	0.1109576866
217	0.1106430492
218	0.110449225
219	0.1100611524
220	0.1100157818
221	0.1097335067
222	0.1093382325
223	0.108930859
224	0.1085296076
225	0.1080272971
226	0.1074708449
227	0.1071171984
228	0.1067819049
229	0.1064907912
230	0.1061690941
231	0.1059251927
232	0.1057718828
233	0.1050828758
234	0.1045855486
235	0.1042506426
236	0.1040159919
237	0.1038426446
238	0.10362545
239	0.1032215532
