iter	Passed	Remaining
0	2	2380
1	4	2148
2	6	2112
3	8	2106
4	10	2067
5	12	2047
6	14	2022
7	16	1998
8	18	1984
9	19	1973
10	21	1964
11	23	1969
12	25	1964
13	27	1958
14	29	1948
15	31	1937
16	33	1929
17	35	1926
18	37	1926
19	39	1944
20	41	1947
21	43	1954
22	46	1959
23	48	1966
24	53	2084
25	58	2191
26	61	2223
27	64	2256
28	67	2264
29	70	2292
30	73	2303
31	76	2322
32	80	2345
33	84	2398
34	87	2420
35	90	2436
36	93	2432
37	95	2421
38	97	2408
39	99	2397
40	102	2392
41	106	2430
42	112	2510
43	115	2515
44	118	2510
45	120	2503
46	122	2493
47	125	2496
48	128	2486
49	130	2473
50	132	2462
51	134	2452
52	137	2449
53	139	2444
54	141	2432
55	143	2424
56	146	2417
57	148	2410
58	150	2402
59	152	2394
60	155	2390
61	157	2381
62	159	2372
63	161	2362
64	163	2353
65	165	2343
66	167	2336
67	169	2328
68	171	2318
69	173	2309
70	175	2300
71	178	2294
72	179	2285
73	182	2278
74	184	2270
75	186	2263
76	188	2255
77	190	2246
78	192	2239
79	194	2232
80	196	2225
81	198	2220
82	200	2213
83	202	2209
84	204	2203
85	206	2195
86	208	2190
87	210	2183
88	213	2180
89	215	2177
90	217	2172
91	219	2166
92	221	2159
93	223	2156
94	225	2152
95	228	2149
96	230	2147
97	233	2145
98	235	2141
99	237	2137
100	239	2132
101	241	2126
102	243	2121
103	245	2118
104	248	2116
105	250	2112
106	252	2106
107	254	2102
108	256	2096
109	258	2090
110	260	2086
111	262	2083
112	264	2077
113	266	2072
114	268	2067
115	270	2061
116	272	2055
117	274	2050
118	276	2047
119	278	2043
120	280	2038
121	282	2033
122	284	2028
123	286	2022
124	288	2017
125	290	2012
126	292	2010
127	294	2006
128	296	2001
129	298	1998
130	300	1993
131	302	1989
132	304	1985
133	306	1982
134	309	1980
135	311	1975
136	312	1970
137	315	1968
138	317	1964
139	319	1960
140	321	1957
141	323	1955
142	325	1952
143	328	1950
144	330	1948
145	332	1946
146	336	1949
147	338	1949
148	340	1947
149	343	1944
150	345	1942
151	347	1939
152	349	1936
153	352	1934
154	354	1931
155	356	1929
156	359	1928
157	361	1925
158	363	1922
159	365	1920
160	367	1917
161	370	1915
162	372	1913
163	374	1910
164	377	1908
165	379	1905
166	381	1904
167	383	1900
168	385	1897
169	388	1895
170	390	1893
171	392	1889
172	394	1886
173	396	1882
174	398	1878
175	400	1874
176	402	1872
177	405	1870
178	407	1867
179	408	1863
180	410	1859
181	412	1855
182	414	1851
183	416	1848
184	418	1845
185	421	1844
186	423	1841
187	425	1839
188	427	1836
189	429	1833
190	431	1829
191	434	1827
192	436	1825
193	438	1821
194	440	1818
195	442	1814
196	444	1810
197	446	1807
198	448	1803
199	450	1801
200	452	1800
201	455	1797
202	457	1794
203	459	1791
204	461	1788
205	463	1784
206	464	1781
207	467	1779
208	469	1776
209	471	1772
210	473	1769
211	474	1765
212	476	1761
213	478	1758
214	480	1756
215	483	1753
216	485	1750
217	487	1747
218	489	1744
219	491	1741
220	492	1737
221	494	1733
222	496	1731
223	499	1729
224	501	1726
225	503	1723
226	505	1720
227	507	1716
228	509	1713
229	510	1710
230	513	1707
231	515	1706
232	517	1703
233	519	1700
234	521	1698
235	523	1695
236	525	1692
237	527	1689
238	530	1687
239	532	1685
240	534	1683
241	536	1681
242	538	1678
243	541	1676
244	543	1674
245	545	1672
246	548	1672
247	550	1669
248	552	1667
249	555	1665
250	557	1662
251	559	1661
252	562	1659
253	564	1657
254	566	1655
255	568	1652
256	570	1650
257	572	1647
258	574	1644
259	577	1643
260	579	1640
261	581	1638
262	583	1636
263	586	1634
264	588	1632
265	591	1630
266	593	1629
267	595	1626
268	597	1624
269	599	1621
270	601	1619
271	604	1616
272	606	1614
273	608	1613
274	611	1610
275	613	1608
276	615	1606
277	617	1603
278	619	1601
279	622	1599
280	624	1598
281	627	1596
282	629	1594
283	631	1592
284	633	1590
